call_id,timestamp,duration,agent,queue
c85f460757864b1f936a593228541921,2025-12-01 08:00:52,81,gamze.şahin,VIP Müşteri
bdb4d0358fe548719659f18504f9069e,2025-12-01 08:02:38,223,ahmet.özdemir,Genel Bilgi
4beedb9871c04cb5ad84d6cfb533c96e,2025-12-01 08:19:47,54,fatma.yılmaz,Destek Hattı
2d53a977bfb8432cb727d99c52cd600b,2025-12-01 08:24:42,122,derya.yılmaz,Satış Hattı
301033c5f4214fcabd0ce56dab472849,2025-12-01 08:31:55,220,murat.kılıç,Destek Hattı
63549854189646f1af0ceea6c7db6af2,2025-12-01 08:40:16,156,mustafa.aydın,Destek Hattı
6efdf7faf7cd427fb69c5ae2473552f6,2025-12-01 08:43:19,79,emine.çetin,VIP Müşteri
d512b136676b4aa3b642ce3c130023a5,2025-12-01 08:44:19,172,ahmet.özdemir,Destek Hattı
ce8c3aec6d754f4dac013d3886a5b681,2025-12-01 08:46:56,130,ahmet.çetin,Destek Hattı
1709597dbf4b4576885d8188323a1951,2025-12-01 08:52:56,211,,Destek Hattı
37ccf7283e60418fbea2577580ad9358,2025-12-01 09:01:40,195,emine.özdemir,Genel Bilgi
ee05fb4e09154b448501dfe0bdd18ef6,2025-12-01 09:06:20,285,mustafa.kara,Satış Hattı
eec90cdc7acf4e32adb30fe4175283b1,2025-12-01 09:07:13,186,emine.özdemir,VIP Müşteri
d2fb0543327c41f0a65b03e8d3ddf1c9,2025-12-01 09:12:51,114,mustafa.kara,Destek Hattı
185db98b09bf4d21ad6f66b2151adb83,2025-12-01 09:13:56,182,elif.özdemir,Satış Hattı
1b7070dab5e34ad2a0edc518fab01701,2025-12-01 09:15:20,176,murat.koç,
22f59c6ae39b4a5498fe47aa722565ec,2025-12-01 09:20:37,113,yusuf.yılmaz,VIP Müşteri
f503bd92ca994461a34de9691e334c3a,2025-12-01 09:27:23,181,yusuf.özdemir,Destek Hattı
106d1642b30b489fa1b1cf2ff47fabbf,2025-12-01 09:27:41,178,derya.yılmaz,Genel Bilgi
3889ab43b165490c9d8d5cf61b4e6f69,2025-12-01 09:35:08,150,elif.özdemir,Genel Bilgi
b6227af85eaa4c1688fb246bc2465e39,2025-12-01 09:36:42,191,yusuf.özdemir,VIP Müşteri
687ee0b772ef443298f94ac5fb379727,2025-12-01 09:52:45,209,emine.özdemir,Satış Hattı
d2ed0ae09d924b5b8861bf0ee622a91c,2025-12-01 10:04:12,169,gamze.aydın,VIP Müşteri
5c9a2b3ea5464d40a21b7e0845466e2f,2025-12-01 10:07:36,208,emine.özdemir,Destek Hattı
a4a79c0402cc4e229d2d67c80c3d0424,2025-12-01 10:10:17,101,emine.özdemir,Genel Bilgi
946fc96d1e694515aae2f53a9d5f52cf,2025-12-01 10:43:33,215,gamze.aydın,Satış Hattı
173533295a194383b8cfa461a1d7bdef,2025-12-01 10:45:50,92,elif.özdemir,Satış Hattı
15202cdf5203412eaaf4f3da19d5ef63,2025-12-01 10:52:29,180,gamze.aydın,Genel Bilgi
16089cb190624a80832a0d5a8d244482,2025-12-01 10:52:52,365,yusuf.yılmaz,Destek Hattı
245398309d594283bde60b31f15a8185,2025-12-01 10:56:08,189,emine.özdemir,VIP Müşteri
43e6ec13567a41d7a4c661b1eb1cad16,2025-12-01 10:57:28,173,murat.koç,Satış Hattı
6827479fb8ae423eb8f2603f8433c0fe,2025-12-01 11:02:35,57,murat.koç,Destek Hattı
